Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
AARS2	gene	AARS2	Expert;Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Multiple respiratory chain complex deficiencies (disorders of protein synthesis);Combined oxidative phosphorylation deficiency 8, 614096;infantile mitochondrial cardiomyopathy				PMID: 21549344;25058219		False	3	100;0;0	7.6	True		ENSG00000124608	ENSG00000124608	HGNC:21022													
ABAT	gene	ABAT	Expert Review;Expert Review Green;Literature;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	mtDNA depletion syndrome;613163				Besse et al., 2015, Cell Metab., 21(3), 417-427 PMID: 25738457		False	3	67;0;33	7.6	True		ENSG00000183044	ENSG00000183044	HGNC:23													
ABCB7	gene	ABCB7	Expert;Expert list;Expert Review Green;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Disorders of iron homeostasis;Anemia, sideroblastic, with ataxia;congenital cerebellar hypoplasia/atrophy (PMID: 26242992).				PMID: 26242992;22398176;17192398		False	3	100;0;0	7.6	False		ENSG00000131269	ENSG00000131269	HGNC:48													
ACAD9	gene	ACAD9	Expert;Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Isolated complex I deficiency;ACAD9 deficiency, 611126;Mitochondrial complex I deficiency due to ACAD9 deficiency				PMID:17564966;21057504		False	3	100;0;0	7.6	True		ENSG00000177646	ENSG00000177646	HGNC:21497													
ACO2	gene	ACO2	Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Infantile cerebellar-retinal degeneration, 614559				34056600		False	3	100;0;0	7.6	True		ENSG00000100412	ENSG00000100412	HGNC:118													
AFG3L2	gene	AFG3L2	Expert;Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal	Optic atrophy 12, OMIM:618977;Spinocerebellar ataxia 28, OMIM:610246;Spastic ataxia 5, autosomal recessive, OMIM:614487						False	3	100;0;0	7.6	True		ENSG00000141385	ENSG00000141385	HGNC:315													
AGK	gene	AGK	Expert;Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Sengers syndrome, 212350;Mitochondrial DNA depletion syndrome 10;Multiple respiratory chain complex deficiencies (disorders of protein synthesis);Disorders of mitochondrial lipid metabolism;Cataract 38, autosomal recessive, 614691						False	3	100;0;0	7.6	True		ENSG00000006530	ENSG00000006530	HGNC:21869													
AIFM1	gene	AIFM1	Expert;Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Disorders of mitochondrial apoptosis;Combined oxidative phosphorylation deficiency 6, 300816;Cowchock syndrome, 310490				PMID: 20362274 (two related males);PMID: 23217327		False	3	100;0;0	7.6	True		ENSG00000156709	ENSG00000156709	HGNC:8768													
APOPT1	gene	APOPT1	Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial complex IV deficiency, nuclear type 17, OMIM:619061;Isolated complex IV deficiency						False	3	100;0;0	7.6	True		ENSG00000256053	ENSG00000256053	HGNC:20492													
APTX	gene	APTX	Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Disorders of ubiquinone metabolism and biosynthesis;Ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia, 208920;Ataxia with oculomotor apraxia 1						False	3	50;0;50	7.6	True		ENSG00000137074	ENSG00000137074	HGNC:15984													
